Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.98     0.00        1     0.00     2.95  place_and_route
  0.00      2.98     0.00        1     0.00     0.00  post_place_sync
  0.00      2.98     0.00        1     0.00     0.00  print_place
  0.00      2.98     0.00        1     0.00     0.00  reset_placement
  0.00      2.98     0.00        1     0.00     0.00  restore_original_device
  0.00      2.98     0.00        1     0.00     0.00  rr_graph_externals
  0.00      2.98     0.00        1     0.00     0.00  set_graphics_state
  0.00      2.98     0.00        1     0.00     0.00  setup_chan_width
  0.00      2.98     0.00        1     0.00     0.00  start_hash_table_iterator
  0.00      2.98     0.00        1     0.00     0.00  starting_t
  0.00      2.98     0.00        1     0.00     2.95  try_place

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2014 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.34% of 2.98 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    2.98                 main [1]
                0.00    2.95       1/1           place_and_route [2]
                0.00    0.03       1/1           SetupVPR [31]
                0.00    0.00       1/1           PrintTitle [224]
                0.00    0.00       1/1           ReadOptions [233]
                0.00    0.00       1/1           IsTimingEnabled [223]
                0.00    0.00       1/1           CheckOptions [218]
                0.00    0.00       1/1           CheckArch [217]
                0.00    0.00       1/1           CheckSetup [220]
                0.00    0.00       1/1           ShowSetup [246]
                0.00    0.00       1/1           set_graphics_state [320]
                0.00    0.00       1/1           freeArch [284]
-----------------------------------------------
                0.00    2.95       1/1           main [1]
[2]     99.0    0.00    2.95       1         place_and_route [2]
                0.00    2.95       1/1           try_place [3]
                0.00    0.00       1/1           print_place [317]
                0.00    0.00       1/1           post_place_sync [316]
-----------------------------------------------
                0.00    2.95       1/1           place_and_route [2]
[3]     99.0    0.00    2.95       1         try_place [3]
                0.32    2.15  869860/869998      try_swap [4]
                0.00    0.41       1/1           alloc_lookups_and_criticalities [8]
                0.03    0.01     124/124         load_net_slack [27]
                0.01    0.00     138/139         comp_td_costs [37]
                0.01    0.00     124/124         load_timing_graph_net_delays [45]
                0.01    0.00      15/15          recompute_bb_cost [46]
                0.00    0.00       1/1           starting_t [58]
                0.00    0.00       1/1           check_place [62]
                0.00    0.00       1/2           comp_bb_cost [64]
                0.00    0.00       1/1           initial_placement [71]
                0.00    0.00     511/511         get_mst_of_net [116]
                0.00    0.00     123/123         load_criticalities [168]
                0.00    0.00     123/123         update_screen [169]
                0.00    0.00     122/123         get_std_dev [167]
                0.00    0.00     122/122         exit_crit [170]
                0.00    0.00     121/121         update_t [172]
                0.00    0.00     121/121         update_rlim [171]
                0.00    0.00       2/383841      my_malloc [73]
                0.00    0.00       1/2           init_chan [214]
                0.00    0.00       1/1           alloc_and_load_placement_structs [255]
                0.00    0.00       1/1           init_draw_coords [310]
                0.00    0.00       1/1           compute_net_pin_index_values [277]
